Sample	ACCESSION	TAXID	SCIENTIFIC_NAME	COUNTRY	CLOSEST_CITY	CLOSEST_LOCALITY	ESTIMATED_AGE	LONGITUDE	BREED	LATITUDE	GENDER	SAMPLING_DATE	wc2.0_bio_30s_12	wc2.0_bio_30s_01	wc2.0_bio_30s_02	wc2.0_bio_30s_03	wc2.0_bio_30s_04	wc2.0_bio_30s_05	wc2.0_bio_30s_06	wc2.0_bio_30s_07	wc2.0_bio_30s_08	wc2.0_bio_30s_09	wc2.0_bio_30s_10	wc2.0_bio_30s_11	wc2.0_bio_30s_13	wc2.0_bio_30s_14	wc2.0_bio_30s_15	wc2.0_bio_30s_16	wc2.0_bio_30s_17	wc2.0_bio_30s_18	wc2.0_bio_30s_19
UGBT-D2-0367	ERS420578	30523	Bos taurus x Bos indicus	Uganda	YUMBE	MIDIGO	84	31.243680	Small East African Zebu	3.562390	female	2011	1311	25.504166	11.425000	72.310121	148.162339	33.200001	17.400000	15.800001	24.333333	27.100000	27.633333	23.950000	182.000000	12.000000	57.095228	529.000000	62.000000	107.000000	473.000000
UGBT-D2-0368	ERS420579	30523	Bos taurus x Bos indicus	Uganda	YUMBE	MIDIGO	72	31.243680	Small East African Zebu	3.562390	female	2011	1311	25.504166	11.425000	72.310121	148.162339	33.200001	17.400000	15.800001	24.333333	27.100000	27.633333	23.950000	182.000000	12.000000	57.095228	529.000000	62.000000	107.000000	473.000000
UGBT-D2-0369	ERS420580	30523	Bos taurus x Bos indicus	Uganda	YUMBE	MIDIGO	96	31.243680	Small East African Zebu	3.562390	female	2011	1311	25.504166	11.425000	72.310121	148.162339	33.200001	17.400000	15.800001	24.333333	27.100000	27.633333	23.950000	182.000000	12.000000	57.095228	529.000000	62.000000	107.000000	473.000000
UGBT-D2-0370	ERS420581	30523	Bos taurus x Bos indicus	Uganda	YUMBE	KEI	96	31.201200	Small East African Zebu	3.580220	female	2011	1336	25.066667	11.350000	74.183002	135.585182	32.400002	17.100000	15.300001	24.000000	26.433334	26.900001	23.450000	188.000000	12.000000	57.359344	542.000000	62.000000	110.000000	485.000000
UGBT-D2-0372	ERS420583	30523	Bos taurus x Bos indicus	Uganda	YUMBE	KEI	96	31.201200	Small East African Zebu	3.580220	female	2011	1336	25.066667	11.350000	74.183002	135.585182	32.400002	17.100000	15.300001	24.000000	26.433334	26.900001	23.450000	188.000000	12.000000	57.359344	542.000000	62.000000	110.000000	485.000000
UGBT-D2-0373	ERS420584	30523	Bos taurus x Bos indicus	Uganda	YUMBE	KEI	84	31.201200	Small East African Zebu	3.580220	female	2011	1336	25.066667	11.350000	74.183002	135.585182	32.400002	17.100000	15.300001	24.000000	26.433334	26.900001	23.450000	188.000000	12.000000	57.359344	542.000000	62.000000	110.000000	485.000000
UGBT-D3-0374	ERS420585	30523	Bos taurus x Bos indicus	Uganda	ARUA	OLUKO	84	30.960250	Small East African Zebu	3.012630	female	2011	1345	23.950000	10.183333	75.995026	109.793198	30.400000	17.000000	13.400000	22.866666	25.100000	25.266667	22.600000	189.000000	17.000000	52.490374	552.000000	87.000000	133.000000	511.000000
UGBT-D3-0375	ERS420586	30523	Bos taurus x Bos indicus	Uganda	ARUA	OLUKO	168	30.960250	Small East African Zebu	3.012630	female	2011	1345	23.950000	10.183333	75.995026	109.793198	30.400000	17.000000	13.400000	22.866666	25.100000	25.266667	22.600000	189.000000	17.000000	52.490374	552.000000	87.000000	133.000000	511.000000
UGBT-D3-0376	ERS420587	30523	Bos taurus x Bos indicus	Uganda	ARUA	OLUKO	96	30.960250	Small East African Zebu	3.012630	female	2011	1345	23.950000	10.183333	75.995026	109.793198	30.400000	17.000000	13.400000	22.866666	25.100000	25.266667	22.600000	189.000000	17.000000	52.490374	552.000000	87.000000	133.000000	511.000000
UGBT-D3-0377	ERS420588	30523	Bos taurus x Bos indicus	Uganda	ARUA	OLUKO	120	30.960250	Small East African Zebu	3.012630	female	2011	1345	23.950000	10.183333	75.995026	109.793198	30.400000	17.000000	13.400000	22.866666	25.100000	25.266667	22.600000	189.000000	17.000000	52.490374	552.000000	87.000000	133.000000	511.000000
UGBT-D3-0378	ERS420589	30523	Bos taurus x Bos indicus	Uganda	ARUA	OLUKO	72	30.960250	Small East African Zebu	3.012630	female	2011	1345	23.950000	10.183333	75.995026	109.793198	30.400000	17.000000	13.400000	22.866666	25.100000	25.266667	22.600000	189.000000	17.000000	52.490374	552.000000	87.000000	133.000000	511.000000
UGBT-D3-0379	ERS420590	30523	Bos taurus x Bos indicus	Uganda	ARUA	OLUKO	156	30.960250	Small East African Zebu	3.012630	female	2011	1345	23.950000	10.183333	75.995026	109.793198	30.400000	17.000000	13.400000	22.866666	25.100000	25.266667	22.600000	189.000000	17.000000	52.490374	552.000000	87.000000	133.000000	511.000000
UGBT-D3-0380	ERS420591	30523	Bos taurus x Bos indicus	Uganda	ARUA	OLUKO	156	30.960250	Small East African Zebu	3.012630	female	2011	1345	23.950000	10.183333	75.995026	109.793198	30.400000	17.000000	13.400000	22.866666	25.100000	25.266667	22.600000	189.000000	17.000000	52.490374	552.000000	87.000000	133.000000	511.000000
UGBT-D3-0383	ERS420593	30523	Bos taurus x Bos indicus	Uganda	ARUA	OLUKO	36	31.050700	Small East African Zebu	3.025300	female	2011	1275	24.704166	11.258333	67.821290	148.208329	32.099998	15.500000	16.599998	23.016667	25.883333	26.466666	23.016667	179.000000	16.000000	51.568868	518.000000	83.000000	129.000000	518.000000
UGBT-D3-0384	ERS420594	30523	Bos taurus x Bos indicus	Uganda	ARUA	OLUKO	96	31.050700	Small East African Zebu	3.025300	female	2011	1275	24.704166	11.258333	67.821290	148.208329	32.099998	15.500000	16.599998	23.016667	25.883333	26.466666	23.016667	179.000000	16.000000	51.568868	518.000000	83.000000	129.000000	518.000000
UGBT-D3-0385	ERS420595	30523	Bos taurus x Bos indicus	Uganda	ARUA	OLUKO	96	31.050700	Small East African Zebu	3.025300	female	2011	1275	24.704166	11.258333	67.821290	148.208329	32.099998	15.500000	16.599998	23.016667	25.883333	26.466666	23.016667	179.000000	16.000000	51.568868	518.000000	83.000000	129.000000	518.000000
UGBT-D3-0387	ERS420597	30523	Bos taurus x Bos indicus	Uganda	ARUA	OLUKO	96	31.100440	Small East African Zebu	3.029940	female	2011	1245	24.983333	11.533333	67.446396	151.137101	32.299999	15.200000	17.099999	23.250000	26.150000	26.583333	23.250000	171.000000	16.000000	50.891570	493.000000	79.000000	127.000000	493.000000
UGBT-D3-0388	ERS420598	30523	Bos taurus x Bos indicus	Uganda	ARUA	OLUKO	120	31.100440	Small East African Zebu	3.029940	female	2011	1245	24.983333	11.533333	67.446396	151.137101	32.299999	15.200000	17.099999	23.250000	26.150000	26.583333	23.250000	171.000000	16.000000	50.891570	493.000000	79.000000	127.000000	493.000000
UGBT-D3-0389	ERS420599	30523	Bos taurus x Bos indicus	Uganda	ARUA	OLUKO	108	31.100440	Small East African Zebu	3.029940	female	2011	1245	24.983333	11.533333	67.446396	151.137101	32.299999	15.200000	17.099999	23.250000	26.150000	26.583333	23.250000	171.000000	16.000000	50.891570	493.000000	79.000000	127.000000	493.000000
UGBT-D4-0406	ERS420600	30523	Bos taurus x Bos indicus	Uganda	NEBBI	Panyango	84	31.129470	Shorthorn Zebu	2.514920	female	2011	1093	24.387500	11.308333	71.121591	133.435798	31.700001	15.800000	15.900001	22.816667	25.516667	25.933333	22.816667	145.000000	19.000000	47.864539	417.000000	81.000000	118.000000	417.000000
UGBT-D4-0407	ERS420601	30523	Bos taurus x Bos indicus	Uganda	NEBBI	NEBBI	96	31.129470	Shorthorn Zebu	2.514920	female	2011	1093	24.387500	11.308333	71.121591	133.435798	31.700001	15.800000	15.900001	22.816667	25.516667	25.933333	22.816667	145.000000	19.000000	47.864539	417.000000	81.000000	118.000000	417.000000
UGBT-D4-0408	ERS420602	30523	Bos taurus x Bos indicus	Uganda	NEBBI	NEBBI	120	31.129470	Shorthorn Zebu	2.514920	female	2011	1093	24.387500	11.308333	71.121591	133.435798	31.700001	15.800000	15.900001	22.816667	25.516667	25.933333	22.816667	145.000000	19.000000	47.864539	417.000000	81.000000	118.000000	417.000000
UGBT-D4-0409	ERS420603	30523	Bos taurus x Bos indicus	Uganda	NEBBI	NEBBI	60	31.129470	Shorthorn Zebu	2.514920	female	2011	1093	24.387500	11.308333	71.121591	133.435798	31.700001	15.800000	15.900001	22.816667	25.516667	25.933333	22.816667	145.000000	19.000000	47.864539	417.000000	81.000000	118.000000	417.000000
UGBT-D4-0410	ERS420604	30523	Bos taurus x Bos indicus	Uganda	NEBBI	NEBBI	108	31.137900	Shorthorn Zebu	2.544970	female	2011	1147	24.508333	11.516666	71.090538	132.129965	31.799999	15.600000	16.199999	22.933333	25.616666	25.950000	22.933333	150.000000	21.000000	47.309985	427.000000	86.000000	126.000000	427.000000
UGBT-D4-0411	ERS420605	30523	Bos taurus x Bos indicus	Uganda	NEBBI	NEBBI	72	31.137900	Shorthorn Zebu	2.544970	female	2011	1147	24.508333	11.516666	71.090538	132.129965	31.799999	15.600000	16.199999	22.933333	25.616666	25.950000	22.933333	150.000000	21.000000	47.309985	427.000000	86.000000	126.000000	427.000000
UGBT-D4-0413	ERS420607	30523	Bos taurus x Bos indicus	Uganda	NEBBI	NEBBI	72	31.137900	Shorthorn Zebu	2.544970	female	2011	1147	24.508333	11.516666	71.090538	132.129965	31.799999	15.600000	16.199999	22.933333	25.616666	25.950000	22.933333	150.000000	21.000000	47.309985	427.000000	86.000000	126.000000	427.000000
UGBT-D4-0414	ERS420608	30523	Bos taurus x Bos indicus	Uganda	NEBBI	NEBBI	84	31.077990	Shorthorn Zebu	2.479110	female	2011	1136	23.483333	10.583333	74.530517	108.173544	30.000000	15.800000	14.200000	22.200000	24.233333	24.716667	22.200000	150.000000	21.000000	47.466813	434.000000	87.000000	124.000000	434.000000
UGBT-D4-0415	ERS420609	30523	Bos taurus x Bos indicus	Uganda	NEBBI	NEBBI	84	31.077990	Shorthorn Zebu	2.479110	female	2011	1136	23.483333	10.583333	74.530517	108.173544	30.000000	15.800000	14.200000	22.200000	24.233333	24.716667	22.200000	150.000000	21.000000	47.466813	434.000000	87.000000	124.000000	434.000000
UGBT-D4-0417	ERS420611	30523	Bos taurus x Bos indicus	Uganda	NEBBI	NEBBI	96	31.077990	Shorthorn Zebu	2.479110	female	2011	1136	23.483333	10.583333	74.530517	108.173544	30.000000	15.800000	14.200000	22.200000	24.233333	24.716667	22.200000	150.000000	21.000000	47.466813	434.000000	87.000000	124.000000	434.000000
UGBT-D5-0686	ERS420612	30523	Bos taurus x Bos indicus	Uganda	HOIMA	KIGOROBYA	36	31.316530	Ankole	1.700780	female	2012	1178	24.087500	9.275000	82.079637	67.994857	29.700001	18.400000	11.300001	24.533333	24.683334	24.983334	23.283333	165.000000	25.000000	44.765579	394.000000	108.000000	157.000000	332.000000
